match,competition,date,position,minutes_played,total_actions,total_actions_successful,total_actions_percent,goals,assists,shots,shots_on_target,shots_percent,xG,passes,passes_accurate,passes_percent,long_passes,long_passes_accurate,long_passes_percent,crosses,crosses_accurate,crosses_percent,dribbles,dribbles_successful,dribbles_percent,duels,duels_won,duels_percent,aerial_duels,aerial_duels_won,aerial_duels_percent,interceptions,losses,losses_own_half,losses_percent,recoveries,recoveries_opp_half,recoveries_percent
Real Madrid - Girona 1:1,Spain. LaLiga,10/30/22,DMF,63,79,65,82,0,0,2,0,0,0.1,59,56,95,4,4,100,0,0,0,1,1,100,15,8,53,0,0,0,2,5,1,20,6,0,0
RB Leipzig - Real Madrid 3:2,Europe. UEFA Champions League,10/25/22,"AMF, LCMF3",94,96,68,71,0,0,0,0,0,0,54,50,93,6,6,100,1,0,0,8,7,88,33,17,52,1,0,0,2,7,4,57,4,2,50
Real Madrid - Sevilla 3:1,Spain. LaLiga,10/22/22,LCMF3,31,24,18,75,0,0,0,0,0,0,16,15,94,0,0,0,0,0,0,0,0,0,7,3,43,0,0,0,0,1,0,0,1,0,0
Elche - Real Madrid 0:3,Spain. LaLiga,10/19/22,LCMF3,14,16,14,88,0,0,0,0,0,0,10,10,100,0,0,0,0,0,0,0,0,0,4,2,50,0,0,0,0,1,0,0,2,1,50
Real Madrid - Barcelona 3:1,Spain. LaLiga,10/16/22,LCMF3,16,11,8,73,0,0,0,0,0,0,5,4,80,0,0,0,0,0,0,0,0,0,5,4,80,1,1,100,0,3,0,0,2,1,50
Shakhtar Donetsk - Real Madrid 1:1,Europe. UEFA Champions League,10/11/22,RCMF,33,27,18,67,0,0,0,0,0,0,15,14,93,1,1,100,0,0,0,1,0,0,11,3,27,1,0,0,0,3,0,0,2,0,0
Getafe - Real Madrid 0:1,Spain. LaLiga,10/8/22,LCMF3,84,72,57,79,0,0,1,0,0,0.04,55,51,93,1,1,100,0,0,0,1,1,100,11,4,36,3,0,0,4,8,3,38,4,3,75
Real Madrid - Shakhtar Donetsk 2:1,Europe. UEFA Champions League,10/5/22,DMF,18,19,11,58,0,0,0,0,0,0,10,9,90,1,0,0,0,0,0,0,0,0,5,2,40,1,1,100,2,4,0,0,3,2,67
Real Madrid - Osasuna 1:1,Spain. LaLiga,10/2/22,"DMF, LCMF3",43,45,33,73,0,0,1,0,0,0.04,31,29,94,2,1,50,1,0,0,2,1,50,10,4,40,2,1,50,2,5,1,20,2,1,50
Atlético Madrid - Real Madrid 1:2,Spain. LaLiga,9/18/22,RCMF,14,9,4,44,0,0,0,0,0,0,2,1,50,0,0,0,0,0,0,1,1,100,5,3,60,1,1,100,2,4,2,50,1,0,0
Real Madrid - RB Leipzig 2:0,Europe. UEFA Champions League,9/14/22,LCMF,64,53,36,68,0,0,1,0,0,0.13,35,33,94,1,1,100,0,0,0,0,0,0,8,2,25,0,0,0,2,6,3,50,5,3,60
Real Madrid - Mallorca 4:1,Spain. LaLiga,9/11/22,LCMF3,26,16,14,88,0,0,0,0,0,0,10,10,100,0,0,0,0,0,0,1,1,100,5,3,60,1,1,100,0,2,2,100,3,2,67
Celtic - Real Madrid 0:3,Europe. UEFA Champions League,9/6/22,LCMF3,22,31,22,71,0,0,0,0,0,0,18,17,94,2,1,50,0,0,0,1,1,100,9,4,44,0,0,0,0,2,1,50,1,0,0
Real Madrid - Real Betis 2:1,Spain. LaLiga,9/3/22,LCMF3,67,74,47,64,0,0,0,0,0,0,34,32,94,3,3,100,0,0,0,4,1,25,24,11,46,0,0,0,3,9,2,22,6,4,67
Espanyol - Real Madrid 1:3,Spain. LaLiga,8/28/22,"LCMF3, RCMF3",45,27,22,81,0,0,1,0,0,0.04,14,14,100,1,1,100,0,0,0,2,2,100,7,5,71,0,0,0,0,2,0,0,2,2,100
Celta de Vigo - Real Madrid 1:4,Spain. LaLiga,8/20/22,LCMF3,84,82,59,72,0,0,0,0,0,0,53,48,91,4,3,75,1,1,100,5,2,40,19,10,53,0,0,0,5,7,4,57,6,3,50
Almería - Real Madrid 1:2,Spain. LaLiga,8/14/22,RCMF3,49,41,28,68,0,0,2,0,0,0.05,22,20,91,1,1,100,0,0,0,1,1,100,15,7,47,1,0,0,0,4,0,0,0,0,0
Liverpool - Real Madrid 0:1,Europe. UEFA Champions League,5/28/22,LCMF3,11,10,6,60,0,0,1,0,0,0.01,4,3,75,0,0,0,0,0,0,0,0,0,4,3,75,0,0,0,0,1,1,100,0,0,0
Real Madrid - Real Betis 0:0,Spain. LaLiga,5/20/22,"DMF, RDMF",50,63,48,76,0,0,1,1,100,0.01,38,34,89,4,3,75,1,0,0,3,3,100,18,13,72,2,1,50,3,7,3,43,10,2,20
Real Madrid - Levante 6:0,Spain. LaLiga,5/12/22,"DMF, RCMF",91,98,74,76,0,0,1,0,0,0,63,59,94,6,5,83,0,0,0,3,2,67,24,13,54,1,1,100,6,7,4,57,17,6,35
Atlético Madrid - Real Madrid 1:0,Spain. LaLiga,5/8/22,"DMF, RCMF3",101,78,66,85,0,0,0,0,0,0,57,52,91,1,1,100,0,0,0,2,2,100,16,13,81,3,3,100,1,10,2,20,5,1,20
Real Madrid - Manchester City 3:1 (E),Europe. UEFA Champions League,5/4/22,"DMF, LCMF",57,45,31,69,0,0,0,0,0,0,25,22,88,3,2,67,0,0,0,1,1,100,10,6,60,0,0,0,2,2,0,0,3,0,0
Real Madrid - Espanyol 4:0,Spain. LaLiga,4/30/22,"LCB, RDMF",78,76,55,72,0,1,0,0,0,0,50,46,92,3,1,33,0,0,0,2,1,50,16,7,44,3,2,67,6,5,4,80,9,4,44
Manchester City - Real Madrid 4:3,Europe. UEFA Champions League,4/26/22,RCMF,25,12,9,75,0,0,0,0,0,0,6,5,83,0,0,0,0,0,0,0,0,0,6,4,67,3,2,67,0,2,1,50,2,0,0
Osasuna - Real Madrid 1:3,Spain. LaLiga,4/20/22,DMF,74,82,69,84,0,0,1,0,0,0.09,62,59,95,2,0,0,0,0,0,1,1,100,15,8,53,6,2,33,1,3,1,33,3,0,0
Sevilla - Real Madrid 2:3,Spain. LaLiga,4/17/22,LCMF,50,49,33,67,0,0,1,0,0,0,32,29,91,2,0,0,0,0,0,0,0,0,8,3,38,2,1,50,4,3,0,0,5,3,60
Real Madrid - Chelsea 2:3 (E),Europe. UEFA Champions League,4/12/22,"DMF, LCMF",55,41,22,54,0,0,1,0,0,0.08,17,14,82,2,0,0,0,0,0,0,0,0,16,8,50,4,2,50,5,2,1,50,7,2,29
Real Madrid - Getafe 2:0,Spain. LaLiga,4/9/22,"DMF, LCMF3",94,108,79,73,0,0,1,0,0,0,70,66,94,0,0,0,1,1,100,2,1,50,25,11,44,5,5,100,12,11,4,36,16,12,75
Chelsea - Real Madrid 1:3,Europe. UEFA Champions League,4/6/22,LCMF3,22,6,2,33,0,0,0,0,0,0,2,2,100,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0
Real Madrid - Barcelona 0:4,Spain. LaLiga,3/20/22,LCMF3,48,45,28,62,0,0,0,0,0,0,26,22,85,5,4,80,0,0,0,1,1,100,11,6,55,1,1,100,4,9,3,33,2,2,100
Mallorca - Real Madrid 0:3,Spain. LaLiga,3/14/22,"DMF, LW",35,34,23,68,0,0,0,0,0,0,18,15,83,1,0,0,0,0,0,1,0,0,12,8,67,4,3,75,2,6,2,33,2,1,50
Real Madrid - PSG 3:1,Europe. UEFA Champions League,3/9/22,DMF,37,26,17,65,0,0,0,0,0,0,14,13,93,5,4,80,0,0,0,1,1,100,8,4,50,0,0,0,1,2,0,0,1,1,100
Real Madrid - Real Sociedad 4:1,Spain. LaLiga,3/5/22,LCMF3,95,76,53,70,1,0,1,1,100,0.04,45,42,93,2,2,100,0,0,0,5,1,20,23,10,43,3,2,67,2,11,2,18,10,6,60
Rayo Vallecano - Real Madrid 0:1,Spain. LaLiga,2/26/22,LWF,10,3,1,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,33,0,0,0,0,0,0,0,0,0,0
Real Madrid - Granada 1:0,Spain. LaLiga,2/6/22,DMF,46,43,35,81,0,0,0,0,0,0,28,27,96,2,2,100,0,0,0,1,0,0,11,6,55,3,1,33,2,3,2,67,5,2,40
Real Madrid - Valencia 4:1,Spain. LaLiga,1/8/22,DMF,23,13,7,54,0,0,0,0,0,0,7,6,86,0,0,0,0,0,0,2,0,0,6,1,17,0,0,0,0,2,1,50,0,0,0
Athletic Bilbao - Real Madrid 1:2,Spain. LaLiga,12/22/21,DMF,94,103,81,79,0,0,2,1,50,0.05,70,66,94,9,7,78,0,0,0,3,3,100,21,11,52,5,3,60,5,6,3,50,10,3,30
Real Madrid - Internazionale 2:0,Europe. UEFA Champions League,12/7/21,DMF,19,30,27,90,0,0,0,0,0,0,22,20,91,3,2,67,0,0,0,0,0,0,7,7,100,1,1,100,1,1,0,0,2,2,100
Real Sociedad - Real Madrid 0:2,Spain. LaLiga,12/4/21,DMF,29,19,10,53,0,0,0,0,0,0,8,7,88,2,1,50,0,0,0,1,0,0,9,3,33,2,1,50,0,3,1,33,1,0,0
Real Madrid - Athletic Bilbao 1:0,Spain. LaLiga,12/1/21,LCMF3,15,18,12,67,0,0,0,0,0,0,9,9,100,0,0,0,0,0,0,1,0,0,7,3,43,0,0,0,0,0,0,0,1,0,0
Real Madrid - Sevilla 2:1,Spain. LaLiga,11/28/21,RCMF3,22,17,11,65,0,0,0,0,0,0,9,8,89,0,0,0,1,0,0,2,2,100,5,3,60,2,1,50,0,2,0,0,1,1,100
Granada - Real Madrid 1:4,Spain. LaLiga,11/21/21,RCMF3,14,13,11,85,0,0,0,0,0,0,11,11,100,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,1,100,0,0,0
Real Madrid - Rayo Vallecano 2:1,Spain. LaLiga,11/6/21,RCMF3,96,70,48,69,0,0,1,1,100,0.09,41,36,88,1,0,0,0,0,0,3,3,100,17,11,65,1,0,0,3,6,4,67,8,6,75
Elche - Real Madrid 1:2,Spain. LaLiga,10/30/21,RCMF3,11,10,7,70,0,0,0,0,0,0,3,3,100,0,0,0,0,0,0,1,1,100,5,4,80,0,0,0,0,0,0,0,1,0,0
Real Madrid - Osasuna 0:0,Spain. LaLiga,10/27/21,RCMF3,46,49,32,65,0,0,2,0,0,0.19,31,29,94,4,3,75,0,0,0,2,1,50,9,2,22,3,0,0,2,5,1,20,3,1,33
Shakhtar Donetsk - Real Madrid 0:5,Europe. UEFA Champions League,10/19/21,LCMF3,15,20,15,75,0,0,0,0,0,0,10,10,100,0,0,0,0,0,0,1,0,0,8,4,50,0,0,0,0,1,0,0,1,0,0
Espanyol - Real Madrid 2:1,Spain. LaLiga,10/3/21,LW,46,37,23,62,0,0,0,0,0,0,18,18,100,1,1,100,2,2,100,0,0,0,9,5,56,2,2,100,1,2,0,0,3,2,67
Real Madrid - Sheriff 1:2,Europe. UEFA Champions League,9/28/21,"LB, LCMF",97,91,66,73,0,0,0,0,0,0,58,52,90,7,6,86,1,0,0,4,3,75,21,13,62,1,0,0,6,11,1,9,15,13,87
Real Madrid - Villarreal 0:0,Spain. LaLiga,9/25/21,"LCMF3, RDMF",49,46,32,70,0,0,0,0,0,0,34,27,79,1,0,0,2,0,0,1,1,100,6,4,67,1,1,100,1,4,0,0,5,5,100
Real Madrid - Mallorca 6:1,Spain. LaLiga,9/22/21,DMF,62,61,40,66,0,0,0,0,0,0,37,33,89,2,2,100,0,0,0,0,0,0,13,6,46,1,0,0,4,6,3,50,2,1,50
Valencia - Real Madrid 1:2,Spain. LaLiga,9/19/21,"LDMF, RCMF",30,30,22,73,0,0,0,0,0,0,17,16,94,0,0,0,0,0,0,2,2,100,8,5,63,1,1,100,2,1,1,100,6,3,50
Internazionale - Real Madrid 0:1,Europe. UEFA Champions League,9/15/21,LCMF3,13,16,10,63,0,1,0,0,0,0,11,9,82,0,0,0,0,0,0,0,0,0,3,1,33,1,1,100,2,1,1,100,1,0,0
Real Madrid - Celta de Vigo 5:2,Spain. LaLiga,9/12/21,LCMF3,28,48,29,60,1,0,1,1,100,0.61,27,24,89,1,1,100,0,0,0,0,0,0,9,3,33,0,0,0,2,5,1,20,4,1,25
Rennes - Sevilla 1:3,Europe. UEFA Champions League,12/8/20,RCMF,96,72,49,68,0,0,1,0,0,0.07,38,34,89,3,2,67,0,0,0,4,4,100,21,13,62,3,2,67,2,8,2,25,3,2,67
Krasnodar - Rennes 1:0,Europe. UEFA Champions League,12/2/20,LCMF,83,82,47,57,0,0,0,0,0,0,41,37,90,1,1,100,0,0,0,3,3,100,25,8,32,1,0,0,5,12,7,58,6,4,67
Rennes - Chelsea 1:2,Europe. UEFA Champions League,11/24/20,RCMF3,80,63,48,76,0,0,2,0,0,0.06,40,39,98,3,3,100,0,0,0,3,1,33,13,7,54,2,2,100,4,2,1,50,5,3,60
Rennes - Krasnodar 1:1,Europe. UEFA Champions League,10/20/20,LCMF3,80,84,59,70,0,0,2,2,100,0.09,44,43,98,0,0,0,2,1,50,4,2,50,27,10,37,1,0,0,3,4,1,25,4,3,75
