match,competition,date,position,minutes_played,total_actions,total_actions_successful,total_actions_percent,goals,assists,shots,shots_on_target,shots_percent,xG,passes,passes_accurate,passes_percent,long_passes,long_passes_accurate,long_passes_percent,crosses,crosses_accurate,crosses_percent,dribbles,dribbles_successful,dribbles_percent,duels,duels_won,duels_percent,aerial_duels,aerial_duels_won,aerial_duels_percent,interceptions,losses,losses_own_half,losses_percent,recoveries,recoveries_opp_half,recoveries_percent
Borussia Dortmund - Mainz 05 1:1,Germany. Bundesliga,1/16/21,"LDMF, RDMF",64,84,62,74,0,0,3,0,0,0.25,48,43,90,3,1,33,0,0,0,3,2,67,23,17,74,4,4,100,2,10,2,20,5,2,40
Union Berlin - Borussia Dortmund 2:1,Germany. Bundesliga,12/18/20,RDMF,14,15,7,47,0,0,0,0,0,0,5,5,100,0,0,0,0,0,0,1,1,100,8,2,25,4,1,25,2,3,1,33,4,1,25
Werder Bremen - Borussia Dortmund 1:2,Germany. Bundesliga,12/15/20,RDMF,72,50,31,62,0,0,0,0,0,0,32,28,88,0,0,0,1,0,0,3,1,33,8,2,25,0,0,0,4,4,1,25,3,0,0
Borussia Dortmund - Stuttgart 1:5,Germany. Bundesliga,12/12/20,RCMF,66,66,44,67,0,0,1,0,0,0.01,43,38,88,1,0,0,0,0,0,4,0,0,16,5,31,0,0,0,4,8,4,50,4,2,50
Zenit - Borussia Dortmund 1:2,Europe. UEFA Champions League,12/8/20,"RB, RCMF3, RDMF",94,113,66,58,0,0,3,0,0,0.22,56,50,89,3,1,33,2,1,50,5,3,60,34,15,44,8,3,38,5,9,5,56,9,6,67
Eintracht Frankfurt - Borussia Dortmund 1:1,Germany. Bundesliga,12/5/20,AMF,20,19,8,42,0,0,0,0,0,0,10,5,50,1,1,100,2,1,50,2,2,100,4,3,75,0,0,0,0,2,1,50,1,1,100
Borussia Dortmund - Lazio 1:1,Europe. UEFA Champions League,12/2/20,RCMF3,87,118,77,65,0,0,2,1,50,0.11,65,57,88,3,0,0,1,1,100,6,3,50,29,18,62,4,1,25,7,16,9,56,7,1,14
Borussia Dortmund - Club Brugge 3:0,Europe. UEFA Champions League,11/24/20,"LDMF, RDMF",93,97,72,74,0,0,0,0,0,0,64,56,88,7,6,86,2,0,0,8,7,88,26,16,62,4,1,25,9,7,2,29,12,8,67
Hertha BSC - Borussia Dortmund 2:5,Germany. Bundesliga,11/21/20,RCMF,32,34,19,56,0,1,1,0,0,0.2,10,10,100,0,0,0,0,0,0,0,0,0,12,6,50,0,0,0,2,0,0,0,3,1,33
Borussia Dortmund - Bayern München 2:3,Germany. Bundesliga,11/7/20,LDMF,37,54,35,65,0,0,1,1,100,0.17,30,26,87,2,0,0,1,1,100,1,1,100,15,8,53,5,2,40,1,5,1,20,4,3,75
Club Brugge - Borussia Dortmund 0:3,Europe. UEFA Champions League,11/4/20,LDMF,21,23,19,83,0,0,0,0,0,0,14,14,100,1,1,100,0,0,0,1,1,100,8,5,63,0,0,0,1,2,1,50,2,0,0
Arminia Bielefeld - Borussia Dortmund 0:2,Germany. Bundesliga,10/31/20,RDMF,94,150,110,73,0,0,3,2,67,0.33,110,96,87,6,3,50,5,1,20,3,2,67,19,10,53,1,0,0,5,15,4,27,13,9,69
Borussia Dortmund - Zenit 2:0,Europe. UEFA Champions League,10/28/20,RAMF,10,14,11,79,0,1,0,0,0,0,9,9,100,0,0,0,0,0,0,2,0,0,4,1,25,2,1,50,0,2,0,0,1,1,100
Lazio - Borussia Dortmund 3:1,Europe. UEFA Champions League,10/20/20,RCMF,46,47,37,79,0,0,0,0,0,0,32,28,88,0,0,0,0,0,0,1,1,100,12,8,67,1,0,0,2,8,3,38,5,3,60
Hoffenheim - Borussia Dortmund 0:1,Germany. Bundesliga,10/17/20,RCMF,19,13,8,62,0,0,0,0,0,0,4,3,75,1,1,100,0,0,0,0,0,0,6,4,67,1,1,100,3,3,0,0,2,2,100
Borussia Dortmund - Freiburg 4:0,Germany. Bundesliga,10/3/20,RCMF,71,101,71,70,0,0,1,0,0,0.03,57,51,89,2,2,100,2,2,100,9,6,67,29,19,66,1,0,0,2,11,2,18,9,5,56
Augsburg - Borussia Dortmund 2:0,Germany. Bundesliga,9/26/20,RCMF,61,82,55,67,0,0,2,2,100,0.4,51,45,88,1,1,100,2,1,50,4,1,25,19,7,37,0,0,0,2,7,0,0,7,7,100
Borussia Dortmund - Borussia M'gladbach 3:0,Germany. Bundesliga,9/19/20,RCMF,69,66,42,64,0,1,0,0,0,0,40,33,83,0,0,0,0,0,0,3,1,33,12,5,42,0,0,0,3,10,5,50,4,1,25
