match,competition,date,position,minutes_played,total_actions,total_actions_successful,total _actions_percent,goals,assists,shots,shots_on_target,shots_percents,xG,passes,passes_accurate,passes_percent,long_passes,long_passes_accurate,long_passes_percent,crosses,crosses_accurate,crosses_percent,dribbles,dribbles_successful,dribbles_percent,duels,duels_won,duels_percent,aerial_duels,aerial_duels_won,aerial_duels_percent,interceptions,losses,losses_own_half,losses_percent,recoveries,recoveries_opp_half,recoveries_percent
Rayo Vallecano - Real Madrid 1:0,Spain. LaLiga,4/28/19,AMF,64,48,32,67,0,0,1,0,0,0.18,29,25,86,1,0,0,1,0,0,3,1,33,10,5,50,1,0,0,4,7,1,14,3,2,67
Real Madrid - Huesca 3:2,Spain. LaLiga,3/31/19,"RCMF, RCMF3",95,96,70,73,1,0,2,1,50,0.56,68,62,91,2,2,100,0,0,0,0,0,0,15,7,47,4,2,50,2,13,3,23,7,3,43
Real Madrid - Celta de Vigo 2:0,Spain. LaLiga,3/16/19,LCMF3,31,42,33,79,0,0,1,0,0,0.06,30,28,93,2,1,50,0,0,0,0,0,0,5,5,100,0,0,0,3,1,0,0,4,3,75
Real Valladolid - Real Madrid 1:4,Spain. LaLiga,3/10/19,LWF,96,100,75,75,0,0,2,1,50,0.23,69,67,97,0,0,0,1,0,0,7,3,43,21,5,24,0,0,0,4,7,3,43,4,2,50
Real Madrid - Girona 1:2,Spain. LaLiga,2/17/19,RCMF3,77,75,48,64,0,0,1,0,0,0.03,44,38,86,0,0,0,2,0,0,3,3,100,13,9,69,0,0,0,3,9,0,0,3,2,67
Atlético Madrid - Real Madrid 1:3,Spain. LaLiga,2/9/19,RCMF3,10,15,15,100,0,0,0,0,0,0,15,15,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Real Madrid - Deportivo Alavés 3:0,Spain. LaLiga,2/3/19,LCMF3,92,133,99,74,0,0,4,0,0,0.35,88,83,94,5,3,60,0,0,0,6,5,83,23,14,61,3,0,0,5,8,2,25,8,6,75
Real Madrid - Sevilla 2:0,Spain. LaLiga,1/19/19,LCMF3,90,146,101,69,0,0,4,0,0,0.07,94,87,93,7,6,86,0,0,0,4,3,75,28,14,50,1,0,0,8,8,2,25,11,7,64
Real Betis - Real Madrid 1:2,Spain. LaLiga,1/13/19,"LCMF3, RWF",21,20,12,60,1,0,1,1,100,0.13,8,8,100,0,0,0,0,0,0,0,0,0,7,3,43,0,0,0,0,1,0,0,0,0,0
Real Madrid - Real Sociedad 0:2,Spain. LaLiga,1/6/19,RCMF,13,17,14,82,0,0,0,0,0,0,15,14,93,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,1,1,100
Real Madrid - Rayo Vallecano 1:0,Spain. LaLiga,12/15/18,LWF,23,21,13,62,0,0,0,0,0,0,11,11,100,0,0,0,0,0,0,1,1,100,8,2,25,2,1,50,0,1,0,0,1,1,100
Huesca - Real Madrid 0:1,Spain. LaLiga,12/9/18,LCMF3,58,52,28,54,0,0,0,0,0,0,23,20,87,4,4,100,0,0,0,1,1,100,11,6,55,2,1,50,4,6,2,33,5,2,40
Real Madrid - Valencia 2:0,Spain. LaLiga,12/1/18,LCMF3,80,102,75,74,0,0,1,0,0,0.05,65,63,97,3,3,100,0,0,0,3,2,67,23,12,52,1,0,0,3,6,4,67,9,5,56
Eibar - Real Madrid 3:0,Spain. LaLiga,11/24/18,"DMF, RDMF",94,105,80,76,0,0,1,0,0,0,64,62,97,1,1,100,0,0,0,1,0,0,29,15,52,6,2,33,7,5,4,80,9,2,22
Celta de Vigo - Real Madrid 2:4,Spain. LaLiga,11/11/18,DMF,79,62,43,69,1,0,2,1,50,0.13,38,34,89,0,0,0,0,0,0,2,1,50,14,6,43,2,1,50,6,6,2,33,8,3,38
Viktoria Plzeň - Real Madrid 0:5,Europe. UEFA Champions League,11/7/18,"AMF, LDMF",96,133,99,74,0,0,0,0,0,0,92,89,97,1,1,100,1,1,100,6,4,67,22,9,41,1,1,100,3,7,4,57,5,3,60
Real Madrid - Levante 1:2,Spain. LaLiga,10/20/18,LCMF3,34,48,37,77,0,0,1,0,0,0,35,32,91,1,1,100,1,0,0,1,1,100,7,4,57,0,0,0,3,6,2,33,3,2,67
